frame,id,x,y,type
1947,240,1050.5,150.0,ped
1948,240,1050.5,150.0,ped
1950,240,1050.0,149.5,ped
1951,240,1050.0,149.5,ped
1953,240,1050.5,148.5,ped
1956,240,1049.5,149.5,ped
1958,240,1050.0,149.5,ped
1960,240,1051.5,151.5,ped
1962,240,1051.0,150.5,ped
1964,240,1049.5,148.0,ped
1965,240,1049.5,148.0,ped
1966,240,1049.0,148.0,ped
1967,240,1049.0,148.0,ped
1968,240,1048.5,148.0,ped
1969,240,1048.5,148.0,ped
1971,240,1048.5,148.0,ped
1972,240,1048.5,147.5,ped
1973,240,1048.5,147.5,ped
1975,240,1048.5,147.0,ped
1976,240,1048.5,147.0,ped
1978,240,1048.5,147.5,ped
1979,240,1048.5,148.0,ped
1980,240,1048.5,148.5,ped
1981,240,1048.5,148.5,ped
1982,240,1048.5,148.0,ped
1983,240,1048.5,148.0,ped
1984,240,1048.5,148.0,ped
1985,240,1048.5,148.0,ped
1986,240,1048.5,148.0,ped
1987,240,1048.5,148.0,ped
1988,240,1048.5,148.0,ped
1989,240,1048.5,148.0,ped
1990,240,1048.0,148.0,ped
1991,240,1048.0,148.0,ped
1992,240,1049.5,149.5,ped
1993,240,1048.0,148.0,ped
1994,240,1048.0,148.0,ped
1995,240,1048.0,148.0,ped
1996,240,1048.5,147.5,ped
1997,240,1048.5,147.5,ped
1998,240,1048.0,147.5,ped
1999,240,1048.0,147.5,ped
2000,240,1048.0,147.5,ped
2001,240,1048.5,147.5,ped
2002,240,1048.0,147.5,ped
2003,240,1048.0,147.5,ped
2004,240,1048.5,147.5,ped
2005,240,1048.5,147.5,ped
2006,240,1048.0,147.5,ped
2007,240,1048.0,147.5,ped
2008,240,1048.0,147.0,ped
2009,240,1048.0,147.0,ped
2010,240,1048.0,147.0,ped
2011,240,1048.5,147.0,ped
2012,240,1049.0,147.0,ped
2013,240,1048.5,147.0,ped
2014,240,1049.0,147.0,ped
2015,240,1049.0,147.0,ped
2016,240,1049.0,146.5,ped
2017,240,1049.0,146.5,ped
2018,240,1049.0,146.5,ped
2019,240,1049.0,146.5,ped
2020,240,1048.0,146.5,ped
2021,240,1048.0,146.5,ped
2022,240,1048.5,146.5,ped
2023,240,1048.5,146.5,ped
2024,240,1048.0,146.0,ped
2025,240,1048.5,146.5,ped
2026,240,1048.5,146.5,ped
2027,240,1048.5,146.5,ped
2028,240,1048.5,146.5,ped
2029,240,1048.5,147.0,ped
2030,240,1049.0,147.0,ped
2031,240,1049.0,147.0,ped
2032,240,1049.5,147.0,ped
2033,240,1049.5,147.0,ped
2034,240,1048.5,147.0,ped
2035,240,1048.5,147.0,ped
2036,240,1048.5,147.0,ped
2037,240,1048.5,147.0,ped
2038,240,1048.5,147.0,ped
2039,240,1048.5,147.0,ped
2040,240,1049.0,147.0,ped
2041,240,1049.0,147.0,ped
2042,240,1049.0,147.0,ped
2043,240,1051.5,151.0,ped
2044,240,1051.5,152.0,ped
2045,240,1051.5,152.0,ped
2046,240,1051.5,152.0,ped
2047,240,1051.5,151.5,ped
2048,240,1051.0,151.0,ped
2049,240,1051.0,151.0,ped
2050,240,1051.0,151.0,ped
2051,240,1051.0,151.0,ped
2052,240,1051.5,151.0,ped
2053,240,1051.5,151.0,ped
2054,240,1051.5,151.0,ped
2055,240,1051.5,151.0,ped
2056,240,1051.5,151.0,ped
2057,240,1050.5,151.0,ped
2058,240,1050.5,151.0,ped
2059,240,1050.5,151.0,ped
2060,240,1050.5,151.0,ped
2061,240,1051.0,151.5,ped
2062,240,1051.0,151.5,ped
2063,240,1051.0,151.5,ped
2064,240,1051.0,151.5,ped
2065,240,1051.0,151.5,ped
2066,240,1051.0,151.5,ped
2067,240,1051.0,151.5,ped
2068,240,1051.5,152.0,ped
2069,240,1051.5,152.0,ped
2070,240,1051.0,152.0,ped
2071,240,1051.0,152.0,ped
2072,240,1051.0,152.0,ped
2073,240,1051.5,152.0,ped
2074,240,1051.5,152.0,ped
2075,240,1051.5,152.0,ped
2076,240,1051.5,152.0,ped
2077,240,1051.5,151.5,ped
2078,240,1051.5,151.5,ped
2079,240,1051.5,151.5,ped
2080,240,1051.5,151.5,ped
2081,240,1051.5,151.5,ped
2082,240,1051.5,151.5,ped
2083,240,1050.5,152.0,ped
2084,240,1050.0,151.5,ped
2085,240,1050.0,151.5,ped
2086,240,1050.0,151.5,ped
2087,240,1050.0,151.0,ped
2088,240,1050.0,151.0,ped
2089,240,1050.5,150.5,ped
2090,240,1050.5,150.5,ped
2091,240,1050.0,151.0,ped
2092,240,1050.0,151.5,ped
2093,240,1050.0,151.0,ped
2094,240,1050.0,150.5,ped
2095,240,1050.0,151.0,ped
2096,240,1050.0,151.0,ped
2097,240,1050.0,150.5,ped
2098,240,1050.0,150.5,ped
2099,240,1048.5,147.0,ped
2100,240,1048.5,146.0,ped
2101,240,1048.5,146.0,ped
