frame,id,x,y,type
5220,214,20.5,464.5,ped
5221,214,24.5,463.0,ped
5222,214,25.0,463.5,ped
5223,214,25.0,463.5,ped
5225,214,29.0,457.0,ped
5226,214,31.5,455.0,ped
5227,214,32.0,455.0,ped
5228,214,35.5,448.5,ped
5229,214,35.5,448.5,ped
5230,214,39.5,446.5,ped
5231,214,40.0,446.5,ped
5232,214,43.0,454.5,ped
5233,214,43.5,454.5,ped
5234,214,47.5,454.5,ped
5235,214,48.0,454.5,ped
5236,214,51.5,454.5,ped
5237,214,52.5,454.5,ped
5238,214,55.5,455.0,ped
5239,214,56.0,455.0,ped
5240,214,60.0,455.0,ped
5241,214,60.5,455.0,ped
5242,214,64.0,454.0,ped
5243,214,64.5,453.5,ped
5244,214,68.0,454.0,ped
5245,214,68.5,454.0,ped
5246,214,72.0,453.5,ped
5247,214,72.5,453.5,ped
5248,214,76.0,454.5,ped
5249,214,76.5,454.0,ped
5250,214,80.0,454.0,ped
5251,214,80.5,453.5,ped
5252,214,84.5,454.0,ped
5253,214,85.0,454.5,ped
5254,214,89.0,454.5,ped
5255,214,89.5,454.5,ped
5256,214,93.5,453.0,ped
5257,214,94.0,453.0,ped
5258,214,97.5,453.0,ped
5259,214,98.0,453.0,ped
5260,214,102.0,452.0,ped
5261,214,102.5,452.0,ped
5262,214,106.5,451.5,ped
5263,214,107.0,451.0,ped
5264,214,111.5,451.5,ped
5265,214,112.5,451.5,ped
5266,214,115.5,451.0,ped
5267,214,116.0,451.0,ped
5268,214,119.5,449.0,ped
5269,214,120.0,449.0,ped
5270,214,124.0,449.0,ped
5271,214,124.5,449.0,ped
5272,214,129.0,448.5,ped
5273,214,133.5,448.0,ped
5274,214,134.0,448.0,ped
5275,214,134.0,448.0,ped
5276,214,137.5,448.5,ped
5277,214,138.0,448.5,ped
5278,214,141.5,448.5,ped
5279,214,145.5,448.0,ped
5280,214,146.5,448.0,ped
5281,214,146.5,448.0,ped
5282,214,151.0,448.0,ped
5283,214,151.5,448.0,ped
5284,214,154.0,447.5,ped
5285,214,163.0,447.0,ped
5286,214,164.0,447.0,ped
5287,214,164.0,447.0,ped
5288,214,170.0,446.5,ped
5289,214,171.0,446.5,ped
5290,214,179.0,445.5,ped
