lat,lon
-13.523882398173432,-71.95695427233186
-13.523884931438158,-71.9569540262996
-13.52388714563129,-71.95695383628829
-13.523889928957074,-71.9569532352806
-13.523892409209038,-71.9569526576026
-13.523895258676948,-71.95695188690506
-13.523897794729438,-71.95695115887786
-13.523900434637227,-71.95695069795755
-13.523902784117803,-71.95695024667664
-13.523905440654467,-71.95694974950514
-13.523907758954877,-71.95694933681553
-13.52391050742228,-71.9569487694629
-13.523912950660046,-71.95694822367803
-13.523915727399869,-71.95694756230614
-13.523918142499559,-71.9569469946228
-13.523921132613005,-71.95694598909964
-13.523923785220237,-71.9569450545701
-13.52392666471381,-71.95694431416847
-13.5239291688999,-71.9569436777647
-13.523931981098679,-71.95694291932307
-13.523934473807623,-71.95694220640968
-13.523937356902358,-71.95694135576365
-13.523939910985092,-71.95694056151146
-13.523942618617399,-71.95693996136808
-13.523945025144155,-71.95693939989008
-13.523947846463086,-71.95693858795778
-13.523950343545321,-71.95693782918346
-13.523953089369995,-71.95693701526436
-13.523955517896413,-71.95693625547798
-13.52395824586208,-71.95693548595708
-13.523960658015486,-71.9569347662936
-13.523963354680006,-71.95693401478204
-13.523965738277553,-71.95693331165499
-13.523968541927774,-71.95693238527782
-13.523970972308117,-71.95693158730879
-13.523973722757809,-71.95693069767258
-13.52397625345911,-71.95692976172145
-13.5239791287368,-71.95692868131742
-13.523981611897263,-71.95692773897437
-13.52398428917772,-71.95692691926516
-13.523986651845819,-71.95692615855816
-13.523989385861706,-71.9569252445021
-13.523991797996763,-71.95692440034112
-13.523994457077624,-71.9569235054623
-13.523996747886954,-71.95692272967958
-13.523999460522628,-71.9569217442046
-13.524001852100918,-71.9569208377236
-13.52400446803056,-71.95691996458666
-13.52400672039544,-71.95691920905692
-13.5240092473378,-71.95691840279756
-13.524011420854322,-71.95691770699499
-13.52401409260696,-71.95691666006432
-13.524016393875332,-71.95691575046342
-13.524018365106327,-71.95691496349072
-13.524020578993117,-71.95691417166347
-13.5240224738688,-71.95691348961216
-13.524024829683453,-71.95691259137176
-13.52402750221312,-71.95691160893354
-13.524029816751627,-71.95691076569568
-13.52403229757852,-71.95690989032848
-13.524034431280766,-71.95690913434548
-13.524036255695707,-71.9569084848476
-13.524038567828299,-71.95690763385929
-13.524040552025,-71.95690689965778
-13.524042858104568,-71.95690585809812
-13.524045445483004,-71.95690480701906
-13.524047674740874,-71.95690389529304
-13.524049574311395,-71.95690309973878
-13.52405181837248,-71.95690219455568
-13.524053742729393,-71.95690141310794
-13.524056065355497,-71.95690039054585
-13.52405809845738,-71.95689944806294
-13.524060163616719,-71.95689870571434
-13.524061930473003,-71.9568980695654
-13.524064171913999,-71.95689713721946
-13.524066676431405,-71.95689607939093
-13.524068872197239,-71.95689510618479
-13.524071274428616,-71.95689405354287
-13.524073341116388,-71.95689314191908
-13.524075109186212,-71.9568923560149
-13.524077093046207,-71.95689152706363
-13.524078836773196,-71.95689076659666
-13.524080763055254,-71.95689001613499
-13.524082408738794,-71.95688937340364
-13.5240843696111,-71.95688856812886
-13.524086046914455,-71.95688787637536
-13.52408814216552,-71.95688693997947
-13.524089939511905,-71.95688613152825
-13.524091811039032,-71.95688534687756
-13.524093445683553,-71.95688461824592
-13.524095243023007,-71.95688395058947
-13.524096789345654,-71.95688338869547
-13.524098533322697,-71.95688272820773
-13.524100021429529,-71.95688216461717
-13.524102004520444,-71.9568812264273
-13.524104172340522,-71.95688025384511
-13.524106038106652,-71.9568794124786
-13.52410763503945,-71.95687868805385
-13.524109467303084,-71.95687775981952
-13.524111034640882,-71.95687695828104
-13.52411236662947,-71.95687626955888
-13.524113923908095,-71.95687565075828
-13.524115249206725,-71.95687512423771
-13.524116368409139,-71.95687467969736
-13.52411730478949,-71.95687430787598
-13.524118615827154,-71.95687358659623
-13.524119757290128,-71.95687291399169
-13.524121187956528,-71.95687210939191
-13.524122843524252,-71.95687124122351
-13.524124573489548,-71.9568703871953
-13.52412605725117,-71.95686965028375
-13.52412770357612,-71.95686888171966
-13.524129406342862,-71.95686817699983
-13.524130867370197,-71.95686757278389
-13.524132526003,-71.95686686909545
-13.524133948141376,-71.95686626558914
-13.524135585233028,-71.95686542795676
-13.524136987997199,-71.95686470529598
-13.524138755587026,-71.95686370724727
-13.524140305411276,-71.9568627896085
-13.524141848966696,-71.95686205008153
-13.524143182183899,-71.95686142217676
-13.52414463752387,-71.95686064983492
-13.524145880062854,-71.9568599856097
-13.524147304462259,-71.95685920962067
-13.524148520255002,-71.95685854208249
-13.52414989070565,-71.95685781556968
-13.52415105947951,-71.95685719191634
-13.524152392898767,-71.9568564388946
-13.52415352944836,-71.95685579154959
-13.524154736721853,-71.95685510054312
-13.524155804173725,-71.95685446356175
-13.524157017952101,-71.95685375105042
-13.524158050012206,-71.95685313945978
-13.52415923268301,-71.95685244974973
-13.524160238134357,-71.95685185824897
-13.52416138470429,-71.95685117979265
-13.52416237187266,-71.95685060486062
-13.524163445183158,-71.95685004323973
-13.52416435562525,-71.9568495651627
-13.52416512156851,-71.95684916126307
-13.524166097803155,-71.95684860555684
-13.524166923565273,-71.95684813200705
-13.52416790178693,-71.95684748758411
-13.524168730201096,-71.956846934814
-13.524169680509793,-71.95684633464904
-13.524170485267842,-71.95684582101865
-13.524171471001686,-71.95684515499384
-13.524172632392611,-71.95684429691079
-13.524173625800355,-71.9568435539145
-13.524174669777887,-71.9568428222615
-13.524175587003667,-71.95684214191405
-13.524176644247953,-71.95684137967724
-13.524177546448039,-71.9568407221355
-13.524178482759197,-71.95684011667498
-13.52417927835584,-71.95683959847193
-13.524180148501168,-71.95683900492662
-13.52418092597271,-71.95683845410359
-13.524181581403607,-71.95683798417738
-13.524182327369605,-71.95683743376378
-13.52418296939142,-71.95683690831093
-13.524183743536355,-71.95683626589833
-13.524184397923513,-71.95683571399681
-13.524185130455482,-71.95683514633926
-13.524185946041118,-71.9568345709389
-13.524186625767475,-71.95683407202154
-13.524187381680154,-71.95683349020175
-13.524188022110298,-71.9568329916707
-13.524188769590813,-71.95683242290154
-13.524189403360875,-71.9568319357535
-13.524190132090244,-71.9568313710168
-13.524190749939274,-71.9568308872364
-13.524191269496859,-71.95683047538644
-13.524191897790972,-71.95683003831564
-13.524192427715032,-71.9568296676017
-13.524192936425921,-71.95682938652232
-13.524193360915069,-71.956829154171
-13.524193917732081,-71.95682876145915
-13.524194385945748,-71.95682842903761
-13.524194944438769,-71.95682804907817
-13.524195415040364,-71.95682772754608
-13.524195910163458,-71.95682732647738
-13.524196338285394,-71.95682699184285
-13.524196810577115,-71.95682664497508
-13.52419721931314,-71.95682635816034
-13.52419771213222,-71.95682595212675
-13.524198229788588,-71.95682553515765
-13.52419869180092,-71.95682513180209
-13.52419907954147,-71.95682478800965
-13.524199540999293,-71.95682432544098
-13.52419994218329,-71.95682393472626
-13.524200392771194,-71.95682353721708
-13.524200771828227,-71.95682319819143
-13.524201201525933,-71.95682278741228
-13.524201587329172,-71.95682238919888
-13.524202025246263,-71.95682198479804
-13.524202418944572,-71.95682159220172
-13.524202826546935,-71.95682123377696
-13.524203193805894,-71.95682088201097
-13.524203602899059,-71.9568205128515
-13.524203996405797,-71.95682010459582
-13.524204380481155,-71.9568197785954
-13.524204690188844,-71.95681949631224
-13.524205048913972,-71.9568191887817
-13.524205349941312,-71.95681892847384
-13.524205813938636,-71.95681851805004
-13.524206209227534,-71.9568181658399
-13.52420661833563,-71.95681778410487
-13.524206965107465,-71.95681745731252
-13.5242072964475,-71.95681719676303
-13.524207574507903,-71.95681697763453
-13.524207879943477,-71.95681671415312
-13.52420813547589,-71.95681649201802
-13.52420841064988,-71.95681627761216
-13.52420863983536,-71.95681609879522
-13.524208929290277,-71.95681588213638
-13.524209171793634,-71.95681570086678
-13.524209446977258,-71.95681547015133
-13.524209740971513,-71.95681524710405
-13.524209988267117,-71.95681505958478
-13.524210271155482,-71.95681488044094
-13.524210509048086,-71.95681473166019
-13.52421070705897,-71.9568146097316
-13.524210957090013,-71.95681443667293
-13.524211190072652,-71.95681424667767
-13.52421141104687,-71.95681409884007
-13.524211642143142,-71.95681388509526
-13.524211861871985,-71.95681371574864
-13.524212045065596,-71.95681357440766
-13.524212222582621,-71.95681346925222
-13.524212368653524,-71.95681338474624
-13.524212587303595,-71.95681324950856
-13.524212747037177,-71.95681318358018
-13.524212928124522,-71.95681309896031
-13.52421312524186,-71.95681294027028
-13.52421340020715,-71.95681268672611
-13.52421367106335,-71.95681242883448
-13.524213901596495,-71.95681220713035
-13.52421409631691,-71.95681201764167
-13.52421433261937,-71.95681177682191
-13.52421453275955,-71.95681157020026
-13.524214787398222,-71.95681131978296
-13.524215004129077,-71.9568111045458
-13.52421523710506,-71.95681088637235
-13.524215434762562,-71.95681069979322
-13.52421560457995,-71.95681059800425
-13.5242157462608,-71.9568105149637
-13.524215945843803,-71.9568103177657
-13.52421611433995,-71.95681014941061
-13.524216255267186,-71.95681000669592
-13.524216448287445,-71.95680986376966
-13.524216634478634,-71.95680969817523
-13.524216818307867,-71.95680956881867
-13.524217019528013,-71.95680936988786
-13.524217190237078,-71.95680919949606
-13.524217442898085,-71.95680893549866
-13.524217659593173,-71.95680870710656
-13.524217916867576,-71.95680843125565
-13.524218137741052,-71.95680819237963
-13.524218398687122,-71.95680790739654
-13.524218622886895,-71.95680766047894
-13.524218814384438,-71.95680744751252
-13.524219071915947,-71.95680714091704
-13.524219293187468,-71.956806874858
-13.524219472802955,-71.95680669536337
-13.524219624798576,-71.9568065425667
-13.524219774997906,-71.95680636863592
-13.52421992368531,-71.95680617583223
-13.524220156495034,-71.9568058930854
-13.524220342902957,-71.95680564267593
-13.524220559932989,-71.95680534266114
-13.524220808318182,-71.95680505419192
-13.52422102205645,-71.95680480434623
-13.524221263350514,-71.95680450523469
-13.524221470786992,-71.95680424601576
-13.524221679697597,-71.95680392796959
-13.524221858312046,-71.95680365202762
-13.524222032427408,-71.95680336924217
-13.52422226496265,-71.95680305230805
-13.52422246479747,-71.95680277753414
-13.524222684534466,-71.95680250685888
-13.524222873046552,-71.95680227335941
-13.524223162906035,-71.95680191232984
-13.524223436112424,-71.95680155433482
-13.52422384090621,-71.95680094028363
-13.524224193781615,-71.95680040185351
-13.524224575688358,-71.95679990834789
-13.524224921348564,-71.95679948296683
-13.524225423962275,-71.95679877382742
-13.524225854536713,-71.95679820095202
-13.524226229565095,-71.95679770064076
-13.524226555054566,-71.95679726509869
-13.524226884780317,-71.95679685435368
-13.524227169862806,-71.95679649874788
-13.524227480377286,-71.95679606235737
-13.524227748253086,-71.9567956840911
-13.524227948132204,-71.95679544918958
-13.524228117620792,-71.95679525030532
-13.52422825179246,-71.95679513169168
-13.524228363004557,-71.95679503608496
-13.52422852866563,-71.95679493826057
-13.524228668283676,-71.9567948606791
-13.524228879400734,-71.95679458023936
-13.524229059641394,-71.95679433958142
-13.524229204204765,-71.95679418247128
-13.524229325352541,-71.95679405151488
-13.524229495329559,-71.95679386800063
-13.524229760003772,-71.95679350362762
-13.524229988341224,-71.95679318778751
-13.52423018432629,-71.95679291521382
-13.5242303648112,-71.95679268627426
-13.524230518290167,-71.95679249105244
-13.524230562356497,-71.95679249683442
-13.524230573138395,-71.95679255332135
-13.524230658393673,-71.95679254162553
-13.524230727708812,-71.95679253906397
-13.524230791033169,-71.95679249648767
-13.52423086244305,-71.95679242307826
-13.524230869128596,-71.95679249816554
-13.524230869022023,-71.95679257203389
-13.52423094040411,-71.95679252117328
-13.524231011673452,-71.95679248719043
-13.52423104835093,-71.9567925057688
-13.524231144896813,-71.95679245283846
-13.52423122570891,-71.95679241132108
-13.52423127653629,-71.95679247558714
-13.52423133811365,-71.95679249544563
-13.524231388076288,-71.95679251823623
-13.524231505017026,-71.95679242013021
-13.524231604523166,-71.95679233737691
-13.524231715138324,-71.9567922784259
-13.524231809117433,-71.95679223042355
-13.52423193618846,-71.95679215949744
-13.52423205823924,-71.95679210570457
-13.524232266175726,-71.95679194904783
-13.524232446987632,-71.95679181362358
-13.5242326435015,-71.95679171236979
-13.524232814055582,-71.95679162632076
-13.524233009224396,-71.95679152124579
-13.5242332207868,-71.95679134637405
-13.52423340456207,-71.95679119463954
-13.524233519030938,-71.95679124928998
-13.524233616275305,-71.95679130216462
-13.524233748198078,-71.95679122018578
-13.524233874384151,-71.95679115591425
-13.524233982152907,-71.95679110231332
-13.524234121283559,-71.95679102565214
-13.524234261719087,-71.95679091826045
-13.52423442997393,-71.95679079357882
-13.524234596325531,-71.9567906433974
-13.524234789590885,-71.95679038041004
-13.524234957066978,-71.95679014975117
-13.524235141544793,-71.95678996312895
-13.524235322113567,-71.95678975827863
-13.524235464874579,-71.95678957470777
-13.524235587263515,-71.95678941519799
-13.52423575418896,-71.95678915007156
-13.524235918970582,-71.95678887575622
-13.524236060958913,-71.95678863573953
-13.524236209294887,-71.95678843637597
-13.524236378280944,-71.9567881788894
-13.524236550667721,-71.95678796412177
-13.524236727653431,-71.9567876882836
-13.524236880476902,-71.95678744743734
-13.524237100530312,-71.95678712158573
-13.5242372916556,-71.9567868364766
-13.524237449616413,-71.95678663471286
-13.524237585400867,-71.95678646033787
-13.524237750019505,-71.95678617968575
-13.524237891716275,-71.95678593515102
-13.52423801300842,-71.95678572287592
-13.524238163317003,-71.95678550738394
-13.524238292356836,-71.95678532106349
-13.5242384435345,-71.95678507724385
-13.524238552857375,-71.95678490747822
-13.524238720224846,-71.95678464178974
-13.524238884998464,-71.95678436925336
-13.52423902697018,-71.95678413236283
-13.524239148638259,-71.9567839272889
-13.52423932676609,-71.95678363082355
-13.524239514313992,-71.95678333616391
-13.524239717285928,-71.95678299698928
-13.524239893206394,-71.95678270121626
-13.524240072366265,-71.95678235670258
-13.524240247282863,-71.95678201516483
-13.524240437870585,-71.9567817321045
-13.524240643143841,-71.95678140439733
-13.524240820968704,-71.95678111945179
-13.524240974324954,-71.95678087266599
-13.52424114621461,-71.95678057775005
-13.524241314407426,-71.95678028115992
-13.524241525843966,-71.95677995171734
-13.52424168899639,-71.95677970652434
-13.524241869358253,-71.95677941365182
-13.524242024891098,-71.95677916017377
-13.524242244807443,-71.95677882878888
-13.524242435534953,-71.95677854112736
-13.524242626949949,-71.9567782063191
-13.524242871931106,-71.95677775313659
-13.524243084758039,-71.95677735747468
-13.524243268920438,-71.95677701316652
-13.52424345404536,-71.95677662905155
-13.52424359367628,-71.95677633569974
-13.52424376547486,-71.95677591196933
-13.524243913061145,-71.95677554315483
-13.524244137800581,-71.95677502209138
-13.524244332469214,-71.95677456708592
-13.524244500366988,-71.95677417102792
-13.524244644450722,-71.95677382754026
-13.524244741097725,-71.95677352177431
-13.524244841436827,-71.95677321878568
-13.524244977840157,-71.95677288295934
-13.524245152800338,-71.95677247364875
-13.52424537509178,-71.95677200378682
-13.524245587271237,-71.9567715553368
-13.524245809827251,-71.95677108652637
-13.524246002646848,-71.95677067905058
-13.524246175297309,-71.95677028226179
-13.524246343032955,-71.95676989960455
-13.524246525717137,-71.95676949025162
-13.524246702329393,-71.9567690966861
-13.524246879736332,-71.95676867360153
-13.524247070823295,-71.95676822891879
-13.524247293908411,-71.95676781761784
-13.52424750633226,-71.95676742292193
-13.524247690033041,-71.95676708214299
-13.524247899457317,-71.9567667157711
-13.524248067440135,-71.95676639584981
-13.524248255776353,-71.9567660006426
-13.524248462108934,-71.95676553869484
-13.5242486592733,-71.95676509952854
-13.524248874222682,-71.95676468942341
-13.524249078990374,-71.9567642966464
-13.524249286530347,-71.95676383369747
-13.524249465638238,-71.95676343269615
-13.52424970081752,-71.95676289049686
-13.524249904437468,-71.9567624192749
-13.524250142197959,-71.95676185400353
-13.5242503480188,-71.95676136261245
-13.524250568658609,-71.95676081851413
-13.524250759189476,-71.95676034625544
-13.524250966001626,-71.95675981992576
-13.524251162829243,-71.9567593258371
-13.524251386406426,-71.95675869698087
-13.524251579424499,-71.95675815003639
-13.524251819317184,-71.95675752559035
-13.5242520268193,-71.95675698294129
-13.524252235128747,-71.95675639261692
-13.524252427334742,-71.95675588468808
-13.524252621869676,-71.95675532603227
-13.524252807331614,-71.95675480519557
