lat,lon
-13.521738321595468,-71.96491441537205
-13.521738206410646,-71.96491440705172
-13.52173810585919,-71.96491440039343
-13.521738018402308,-71.9649143951979
-13.521737869137741,-71.96491437112462
-13.521737729134633,-71.96491434784905
-13.521737558234411,-71.96491433719862
-13.521737408338176,-71.96491432841046
-13.521737305456673,-71.9649142383285
-13.521737218714721,-71.964914136632
-13.521737120667504,-71.9649140857067
-13.521737045050367,-71.96491404366958
-13.52173696428194,-71.9649139799649
-13.521736897282423,-71.96491390197518
-13.52173682173316,-71.96491382829997
-13.521736738540882,-71.9649137585327
-13.521736666940852,-71.9649136973537
-13.521736545690915,-71.96491367297553
-13.521736440204544,-71.96491365235993
-13.521736348813096,-71.96491363508511
-13.521736251597073,-71.96491361572113
-13.52173617681651,-71.96491360205043
-13.521736119782409,-71.9649135245081
-13.521736083100455,-71.96491343673794
-13.521736055320847,-71.96491333733555
-13.521736033117868,-71.96491324979146
-13.521736018136986,-71.96491315068035
-13.521736027996337,-71.96491304633408
-13.521736039177377,-71.96491295456687
-13.521736051438511,-71.96491287410755
-13.521736078447965,-71.96491276168646
-13.521736104648287,-71.96491266287074
-13.521736139273013,-71.96491257882549
-13.521736172050584,-71.96491250548796
-13.521736170601764,-71.96491247894423
-13.521736170983477,-71.96491245698664
-13.521736161338685,-71.96491245895714
-13.521736154296397,-71.96491246235327
-13.52173614719605,-71.96491248936105
-13.521736142329694,-71.96491251494125
-13.521736118562284,-71.96491255646852
-13.521736098756536,-71.96491259480908
-13.521736073202444,-71.96491262767562
-13.521736051753534,-71.96491265811439
-13.521736024691952,-71.96491268377268
-13.52173600185627,-71.96491270763491
-13.521735982769705,-71.96491272983077
-13.52173593696304,-71.96491276519927
-13.521735897371947,-71.96491279752176
-13.521735801029699,-71.96491287875493
-13.52173571647821,-71.96491295175645
-13.521735614795785,-71.96491300972332
-13.521735525585276,-71.9649130617971
-13.521735415419004,-71.9649131453947
-13.521735318800136,-71.96491322011411
-13.521735204475474,-71.9649133014238
-13.521735104280715,-71.96491337390627
-13.521735025926098,-71.96491344096393
-13.521734948669943,-71.96491349806983
-13.521734861070618,-71.96491356581956
-13.521734784830718,-71.96491362592761
-13.521734716601728,-71.96491370122344
-13.52173466897168,-71.96491374840019
-13.521734619201839,-71.96491378748311
-13.521734576685668,-71.96491382183672
-13.521734540618933,-71.96491385195137
-13.521734499005836,-71.96491389775585
-13.521734463705238,-71.96491393803025
-13.521734434008119,-71.96491397334783
-13.521734400114893,-71.96491400171325
-13.521734371614238,-71.9649140263799
-13.521734336654447,-71.964914067184
-13.521734307154922,-71.96491410291262
-13.521734293724736,-71.96491411467262
-13.521734283354942,-71.96491412448894
-13.521734264445445,-71.96491415200464
-13.521734237889547,-71.96491419529127
-13.521734215707768,-71.9649142332055
-13.521734199457075,-71.96491424440957
-13.521734186399032,-71.96491425370115
-13.521734146660487,-71.96491427567334
-13.521734112606529,-71.96491429458493
-13.521734065327127,-71.96491430575536
-13.521734024535611,-71.9649143150451
-13.521733989529407,-71.96491432267085
-13.521733932255305,-71.96491432130821
-13.521733882545895,-71.96491431946903
-13.521733803038043,-71.96491430720542
-13.521733733534871,-71.96491429569937
-13.521733627296666,-71.96491427237412
-13.521733534036779,-71.96491425107699
-13.521733366260543,-71.96491425283926
-13.521733218339767,-71.96491425398906
-13.521733062754468,-71.9649142252259
-13.521732869201541,-71.96491420604457
-13.521732698649327,-71.96491418860798
-13.521732504935496,-71.9649141383718
-13.521732325327575,-71.96491409081241
-13.521732145574436,-71.96491397501497
-13.521731996828667,-71.96491387408429
-13.52173186673131,-71.9649137840545
-13.52173171853104,-71.9649136718801
-13.521731589037751,-71.96491357202767
-13.52173142884685,-71.96491349275092
-13.521731288833696,-71.96491342249651
-13.521731130289593,-71.96491335032603
-13.521730991893165,-71.96491328655136
-13.521730856518632,-71.96491318120334
-13.521730738856732,-71.96491308792226
-13.521730600392502,-71.96491299545643
-13.521730480059523,-71.9649129138549
-13.521730389883793,-71.96491277813891
-13.521730283532523,-71.96491267264723
-13.521730191876046,-71.96491257966589
-13.521730113342088,-71.9649124979337
