lat,lon
-13.522818747350904,-71.96137353458
-13.522818871054294,-71.96137310585787
-13.522818976651322,-71.96137273762608
-13.52281911540231,-71.961372310822
-13.522819234440618,-71.96137194422785
-13.522819369952881,-71.9613715463395
-13.522819538894348,-71.96137106333423
-13.522819684743293,-71.96137064686451
-13.522819843715945,-71.96137020561959
-13.5228199807241,-71.96136982616747
-13.522820098257283,-71.96136950147479
-13.522820210141353,-71.96136913396434
-13.522820305400579,-71.96136881965255
-13.522820433788455,-71.96136844372558
-13.522820584491487,-71.9613679791091
-13.522820714267768,-71.96136757853465
-13.522820862129311,-71.96136712301318
-13.522820989392782,-71.96136673051932
-13.522821145518309,-71.96136628704639
-13.522821280136004,-71.96136590525231
-13.522821406765633,-71.96136548920853
-13.5228215152018,-71.96136513165654
-13.52282163981648,-71.96136474578608
-13.522821746532736,-71.96136441491772
-13.522821837393158,-71.96136413278903
-13.522821921453565,-71.96136383526363
-13.522821992274316,-71.96136358247601
-13.522822083355173,-71.96136329006629
-13.522822220715563,-71.96136291264258
-13.522822339025408,-71.96136258863551
-13.522822440435581,-71.96136231197588
-13.522822547976858,-71.9613619947402
-13.522822639862259,-71.96136172388117
-13.522822749375491,-71.9613614160968
-13.522822874494302,-71.96136107564615
-13.522822988999033,-71.96136072672849
-13.522823118376323,-71.96136035012988
-13.522823229717845,-71.9613600262986
-13.522823311073498,-71.96135968423722
-13.522823379772577,-71.96135939092339
-13.522823437097635,-71.96135905193532
-13.522823494917462,-71.96135876532843
-13.522823566774147,-71.9613584126757
-13.522823627268687,-71.96135810972392
-13.52282367411228,-71.96135779073614
-13.522823712485932,-71.96135751755675
-13.522823743407775,-71.96135728500634
-13.522823812066159,-71.96135698945199
-13.522823870079256,-71.96135673684472
-13.522823955832866,-71.96135639192958
-13.522824029111522,-71.96135609536944
-13.522824131973584,-71.96135577130866
-13.522824230346428,-71.96135541067616
-13.522824314874436,-71.96135510012121
-13.522824420541287,-71.96135473272585
-13.522824511564062,-71.96135441617048
-13.522824609438905,-71.96135406712918
-13.522824693549243,-71.96135376684488
-13.522824765449734,-71.9613535098223
-13.522824846234467,-71.96135321407975
-13.5228249152247,-71.96135296095154
-13.522824983269349,-71.96135266474701
-13.522825040979717,-71.96135241105966
-13.522825109087467,-71.96135211866414
-13.522825166925628,-71.96135186823852
-13.522825232005319,-71.96135160567634
-13.522825287225881,-71.96135138162334
-13.5228253461786,-71.96135108514511
-13.522825396005063,-71.96135083079405
-13.522825443958007,-71.96135056075998
-13.522825526478337,-71.96135023623857
-13.522825597362536,-71.96134995689194
-13.52282565792239,-71.96134971764805
-13.52282572848361,-71.96134943915749
-13.522825788796558,-71.96134920055985
-13.522825836150776,-71.96134894082412
-13.522825888847214,-71.96134869669986
-13.522825936385045,-71.9613484623394
-13.522825976339663,-71.96134826269932
-13.52282600871668,-71.96134801163672
-13.522826035256102,-71.96134779696114
-13.52282606567046,-71.96134753674495
-13.522826090564694,-71.96134731380468
-13.522826162093006,-71.9613470369912
-13.522826236496702,-71.96134677757605
-13.522826303584514,-71.9613465295494
-13.52282637400197,-71.9613462957539
-13.522826440484984,-71.96134604486387
-13.522826500500917,-71.96134580442288
-13.522826547885106,-71.96134554362263
-13.522826587982058,-71.96134531987478
-13.522826640191104,-71.96134505675732
-13.522826684634548,-71.96134483087998
-13.522826740693258,-71.96134456608583
-13.52282678860152,-71.96134433865728
-13.522826835065937,-71.96134409387196
-13.522826874476216,-71.96134388414825
-13.522826935749093,-71.96134363819954
-13.522826988378798,-71.96134342736487
-13.522827048775026,-71.96134320160888
-13.522827100645033,-71.96134300862893
-13.522827144941873,-71.9613428447291
-13.522827210428447,-71.96134263983946
-13.522827266867209,-71.9613424651826
-13.522827330586697,-71.96134227161295
-13.522827381426696,-71.96134205304422
-13.52282742482855,-71.9613418660065
-13.522827435488876,-71.96134166988583
-13.52282746526044,-71.96134148608901
-13.522827476336555,-71.96134127215875
-13.522827484473684,-71.96134108898357
-13.522827495638053,-71.9613408838153
-13.522827503959347,-71.96134070833742
-13.522827524986509,-71.96134051414171
-13.522827542184498,-71.96134034832532
-13.522827539598781,-71.96134017499423
-13.522827535845574,-71.9613400275942
-13.522827549037013,-71.96133983388896
-13.522827559442572,-71.96133966823298
-13.52282756060547,-71.96133949899142
-13.522827560375069,-71.96133935498268
-13.522827576827245,-71.96133916440937
-13.522827590298885,-71.96133900130249
-13.522827621747346,-71.96133876956794
-13.522827660907799,-71.96133854966098
-13.522827685111917,-71.96133835634649
-13.522827708287766,-71.96133816658886
-13.522827730559278,-71.96133798000332
-13.52282774929733,-71.96133782033726
-13.522827767645653,-71.96133766051109
-13.522827782928504,-71.96133752455262
-13.52282781318891,-71.96133734181407
-13.5228278513226,-71.96133716546314
-13.522827884257609,-71.96133701466448
-13.522827930180023,-71.96133681889404
-13.5228279822065,-71.96133663095678
-13.522828018026866,-71.96133646569022
-13.522828048865803,-71.96133632463565
-13.522828064465847,-71.9613361255516
-13.522828077305299,-71.96133595430643
-13.522828095773253,-71.96133573666529
-13.522828119256694,-71.96133547789066
-13.522828151254254,-71.96133523406782
-13.522828147869621,-71.96133503449188
-13.522828134484207,-71.96133485882869
-13.522828145763702,-71.96133466960576
-13.522828154920917,-71.96133450721318
