frame,id,x,y,type
1797,170,1064.5,151.0,ped
1798,170,1064.5,151.0,ped
1800,170,1063.0,151.0,ped
1801,170,1062.5,151.0,ped
1802,170,1063.0,151.0,ped
1803,170,1062.5,151.0,ped
1804,170,1062.0,151.5,ped
1805,170,1062.0,151.0,ped
1806,170,1062.0,151.0,ped
1807,170,1061.5,151.5,ped
1808,170,1061.5,151.5,ped
1809,170,1061.5,151.5,ped
1810,170,1061.5,151.5,ped
1812,170,1061.5,151.5,ped
1813,170,1061.5,151.5,ped
1814,170,1061.5,151.5,ped
1815,170,1061.5,152.0,ped
1816,170,1061.5,152.0,ped
1817,170,1061.0,152.5,ped
1829,170,1064.0,152.5,ped
1830,170,1064.0,153.0,ped
1831,170,1065.0,152.5,ped
1832,170,1065.0,152.0,ped
1833,170,1066.0,152.0,ped
1834,170,1066.0,152.0,ped
1835,170,1066.0,152.0,ped
1836,170,1066.0,152.0,ped
1837,170,1066.0,152.0,ped
1838,170,1066.0,152.0,ped
1839,170,1066.0,152.0,ped
1840,170,1066.0,152.0,ped
1841,170,1066.0,152.0,ped
1842,170,1066.0,152.0,ped
1843,170,1066.0,152.0,ped
1844,170,1066.0,152.5,ped
1845,170,1066.0,153.0,ped
1846,170,1066.0,153.5,ped
1847,170,1067.0,153.0,ped
1848,170,1067.0,153.5,ped
1849,170,1067.5,153.5,ped
1850,170,1067.5,153.5,ped
1851,170,1067.5,153.5,ped
1852,170,1067.5,154.0,ped
1853,170,1067.5,154.0,ped
1854,170,1068.0,154.0,ped
1855,170,1068.0,154.0,ped
1856,170,1068.0,153.5,ped
1857,170,1068.0,153.5,ped
1858,170,1068.5,153.0,ped
1859,170,1068.5,153.0,ped
1860,170,1068.5,153.0,ped
1861,170,1068.5,153.5,ped
1862,170,1068.5,153.5,ped
1863,170,1068.5,153.5,ped
1864,170,1069.0,153.5,ped
1865,170,1069.0,153.5,ped
1866,170,1069.0,153.5,ped
1867,170,1069.0,153.5,ped
1868,170,1069.0,154.0,ped
1869,170,1069.0,154.5,ped
1870,170,1069.0,154.5,ped
1871,170,1069.0,154.5,ped
1872,170,1069.0,154.5,ped
1873,170,1069.0,155.0,ped
1874,170,1069.0,155.0,ped
1875,170,1069.0,155.0,ped
1876,170,1069.0,155.0,ped
1877,170,1069.0,155.0,ped
1878,170,1069.0,155.5,ped
1879,170,1069.5,155.0,ped
1880,170,1069.5,154.5,ped
1881,170,1069.5,154.5,ped
1882,170,1069.5,154.5,ped
1883,170,1069.5,154.5,ped
1884,170,1069.5,154.5,ped
1885,170,1069.5,155.0,ped
1886,170,1069.5,155.0,ped
1887,170,1069.5,155.0,ped
1888,170,1069.5,155.0,ped
1889,170,1069.5,155.0,ped
1890,170,1069.5,155.0,ped
1891,170,1069.5,154.5,ped
1892,170,1069.5,154.5,ped
1893,170,1069.5,154.5,ped
1894,170,1069.5,155.0,ped
1895,170,1069.5,155.0,ped
1896,170,1071.5,154.5,ped
1897,170,1072.0,155.0,ped
1898,170,1072.0,155.5,ped
1899,170,1072.0,155.5,ped
1900,170,1072.5,155.5,ped
1901,170,1072.5,155.5,ped
1902,170,1072.5,155.5,ped
1903,170,1073.0,155.5,ped
1904,170,1073.0,155.5,ped
1905,170,1073.0,155.5,ped
1906,170,1073.0,156.0,ped
1907,170,1073.0,156.5,ped
1908,170,1073.0,156.0,ped
1909,170,1073.0,156.0,ped
1910,170,1073.5,156.0,ped
1911,170,1073.5,156.0,ped
1912,170,1068.5,153.5,ped
1913,170,1068.5,153.0,ped
1914,170,1068.0,152.5,ped
1915,170,1068.0,152.5,ped
1916,170,1067.5,153.5,ped
1917,170,1067.5,153.0,ped
1918,170,1067.5,153.0,ped
1919,170,1067.5,152.5,ped
1920,170,1067.0,153.0,ped
1921,170,1067.0,153.0,ped
1922,170,1067.0,152.5,ped
1923,170,1066.5,153.0,ped
1924,170,1067.5,153.0,ped
1925,170,1067.0,153.0,ped
1926,170,1067.0,152.5,ped
1927,170,1067.0,152.0,ped
1928,170,1066.5,152.5,ped
1929,170,1066.5,152.5,ped
1930,170,1066.5,152.5,ped
1931,170,1066.5,152.5,ped
1932,170,1066.5,153.0,ped
1933,170,1066.5,152.5,ped
1934,170,1066.5,152.0,ped
1935,170,1066.5,152.0,ped
1936,170,1066.5,152.0,ped
1937,170,1066.5,152.0,ped
1938,170,1066.5,152.0,ped
1939,170,1066.5,152.0,ped
1940,170,1066.0,151.5,ped
1941,170,1066.0,151.0,ped
1942,170,1066.5,152.0,ped
1943,170,1066.5,152.0,ped
1944,170,1066.5,152.0,ped
1945,170,1066.5,152.0,ped
1946,170,1066.5,152.0,ped
1947,170,1066.5,152.0,ped
1948,170,1066.5,152.0,ped
1949,170,1066.5,152.0,ped
1950,170,1066.5,152.0,ped
1951,170,1066.5,152.0,ped
1952,170,1066.5,152.0,ped
1953,170,1066.5,152.0,ped
1954,170,1066.5,152.0,ped
1955,170,1066.5,152.0,ped
1956,170,1066.5,151.5,ped
1957,170,1066.5,151.5,ped
1958,170,1066.5,151.5,ped
1959,170,1066.5,152.0,ped
1960,170,1066.5,151.5,ped
1961,170,1066.5,151.0,ped
1962,170,1066.5,151.5,ped
1963,170,1066.5,151.5,ped
1964,170,1066.5,151.0,ped
1965,170,1066.5,151.0,ped
1966,170,1066.5,151.0,ped
1967,170,1066.5,151.0,ped
1968,170,1066.5,151.0,ped
1969,170,1066.5,151.0,ped
1970,170,1066.5,151.0,ped
1971,170,1066.5,151.0,ped
1972,170,1066.0,150.5,ped
1973,170,1066.0,150.5,ped
1974,170,1065.5,150.5,ped
1975,170,1065.5,150.5,ped
1976,170,1065.5,150.0,ped
1977,170,1065.5,150.0,ped
1978,170,1065.5,149.5,ped
1979,170,1065.5,149.5,ped
1980,170,1066.0,149.5,ped
1981,170,1066.5,149.5,ped
1982,170,1066.5,149.5,ped
1983,170,1066.0,149.5,ped
1984,170,1066.0,149.5,ped
1985,170,1066.5,150.5,ped
1986,170,1066.5,150.5,ped
1987,170,1066.5,150.5,ped
1988,170,1066.5,150.5,ped
1989,170,1066.5,150.5,ped
1990,170,1066.5,150.5,ped
1991,170,1066.5,150.5,ped
1992,170,1066.5,151.0,ped
1993,170,1066.5,151.0,ped
1994,170,1066.5,150.5,ped
1995,170,1066.5,150.5,ped
1996,170,1066.5,150.5,ped
1997,170,1066.5,150.5,ped
1998,170,1066.5,151.0,ped
1999,170,1066.5,150.5,ped
2000,170,1066.5,150.5,ped
2001,170,1066.5,150.5,ped
2002,170,1066.5,150.5,ped
2003,170,1066.5,150.5,ped
2004,170,1066.5,150.5,ped
2005,170,1066.5,150.5,ped
2006,170,1066.5,150.5,ped
2007,170,1066.5,150.5,ped
2008,170,1067.0,150.5,ped
2009,170,1067.0,150.5,ped
2010,170,1067.0,150.5,ped
2011,170,1067.0,150.5,ped
2012,170,1067.0,150.5,ped
2013,170,1067.0,150.5,ped
2014,170,1067.0,150.5,ped
2015,170,1067.0,150.0,ped
2016,170,1067.0,150.0,ped
2017,170,1067.0,149.5,ped
2018,170,1067.0,149.5,ped
2019,170,1067.0,149.0,ped
2020,170,1067.0,149.0,ped
2021,170,1067.0,150.0,ped
2022,170,1067.0,150.0,ped
2023,170,1067.0,150.0,ped
2024,170,1067.0,150.0,ped
