clip,id,frame,latitude,longitude
1_04 13 00,35,645.0,-13.527759060446826,-71.94321046671095
1_04 13 00,35,646.0,-13.527759130988876,-71.94321071641477
1_04 13 00,35,647.0,-13.527759183973615,-71.94321093079455
1_04 13 00,35,648.0,-13.527759278101177,-71.94321115245465
1_04 13 00,35,649.0,-13.527759352688122,-71.943211342001
1_04 13 00,35,650.0,-13.527759330241453,-71.94321156303897
1_04 13 00,35,651.0,-13.527759301536754,-71.94321175195707
1_04 13 00,35,652.0,-13.527759619753661,-71.94321198226083
1_04 13 00,35,653.0,-13.52775989554408,-71.943212180057
1_04 13 00,35,654.0,-13.527760246357072,-71.94321242633337
1_04 13 00,35,655.0,-13.527760551161283,-71.9432126384621
1_04 13 00,35,656.0,-13.527760809747617,-71.94321287399674
1_04 13 00,35,657.0,-13.527760880420377,-71.94321308704514
1_04 13 00,35,658.0,-13.527761109712449,-71.9432133318563
1_04 13 00,35,659.0,-13.527761305981286,-71.94321354252611
1_04 13 00,35,660.0,-13.527761577090494,-71.94321373710096
1_04 13 00,35,661.0,-13.527761748998568,-71.94321391788638
1_04 13 00,35,662.0,-13.527761979156153,-71.94321412989892
1_04 13 00,35,663.0,-13.527762190583646,-71.94321432124664
1_04 13 00,35,664.0,-13.52776246164885,-71.94321448937995
1_04 13 00,35,665.0,-13.527762695604256,-71.94321463205165
1_04 13 00,35,666.0,-13.527763211568544,-71.94321479639183
1_04 13 00,35,667.0,-13.527763664887578,-71.94321493612718
1_04 13 00,35,668.0,-13.527763887326948,-71.94321510694687
1_04 13 00,35,669.0,-13.527764077244617,-71.94321525226908
1_04 13 00,35,670.0,-13.527764486798295,-71.94321548791447
1_04 13 00,35,671.0,-13.527764844054367,-71.94321569138431
1_04 13 00,35,672.0,-13.527765084893826,-71.9432159336878
1_04 13 00,35,673.0,-13.52776521329154,-71.94321614705858
1_04 13 00,35,674.0,-13.527765468332031,-71.94321637510357
1_04 13 00,35,675.0,-13.527765687321892,-71.9432165715154
1_04 13 00,35,676.0,-13.527765726479231,-71.94321681080802
1_04 13 00,35,677.0,-13.527765753014329,-71.94321701688114
1_04 13 00,35,678.0,-13.527765621335892,-71.94321726391722
1_04 13 00,35,679.0,-13.527765496559374,-71.94321747657402
1_04 13 00,35,680.0,-13.527765378326919,-71.94321765871679
1_04 13 00,35,681.0,-13.527765154685916,-71.94321785044419
1_04 13 00,35,682.0,-13.527764949522318,-71.94321801394568
1_04 13 00,35,683.0,-13.527764866234046,-71.943218168441
1_04 13 00,35,684.0,-13.527764857300006,-71.94321834792044
1_04 13 00,35,685.0,-13.527764844124917,-71.94321850101011
1_04 13 00,35,686.0,-13.527765099795317,-71.94321864984165
1_04 13 00,35,687.0,-13.527765323060944,-71.94321877607096
1_04 13 00,35,688.0,-13.527765679286318,-71.94321893754167
1_04 13 00,35,689.0,-13.527765992284943,-71.94321907530022
1_04 13 00,35,690.0,-13.527766162190256,-71.9432192895085
1_04 13 00,35,691.0,-13.527766216691829,-71.94321946739879
1_04 13 00,35,692.0,-13.527766359049883,-71.94321968800692
1_04 13 00,35,693.0,-13.527766480582361,-71.94321987826373
1_04 13 00,35,694.0,-13.52776656942631,-71.94322003168588
1_04 13 00,35,695.0,-13.527766482457736,-71.94322021949928
1_04 13 00,35,696.0,-13.527766400014498,-71.94322038032932
1_04 13 00,35,697.0,-13.527766526095643,-71.94322060244062
1_04 13 00,35,698.0,-13.527766633858132,-71.94322079412095
1_04 13 00,35,699.0,-13.527766627708374,-71.943221002866
1_04 13 00,35,700.0,-13.52776661777289,-71.94322118244718
1_04 13 00,35,701.0,-13.52776655595261,-71.94322135803661
1_04 13 00,35,702.0,-13.527766476395367,-71.9432215494592
1_04 13 00,35,703.0,-13.527766401749615,-71.9432217135977
1_04 13 00,35,704.0,-13.52776631133632,-71.94322189469129
1_04 13 00,35,705.0,-13.52776630393942,-71.94322204752706
1_04 13 00,35,706.0,-13.527766231784435,-71.94322218938734
1_04 13 00,35,707.0,-13.527766164514047,-71.94322230962692
1_04 13 00,35,708.0,-13.527766380396946,-71.943222494133
1_04 13 00,35,709.0,-13.527766570189195,-71.94322265278707
1_04 13 00,35,710.0,-13.527766736568514,-71.94322278839293
1_04 13 00,35,711.0,-13.527766716126695,-71.94322300822193
1_04 13 00,35,712.0,-13.527766694912042,-71.94322319803686
1_04 13 00,35,713.0,-13.527766598168348,-71.94322347309657
1_04 13 00,35,714.0,-13.52776650944094,-71.94322371175319
1_04 13 00,35,715.0,-13.527766559742156,-71.94322395531479
1_04 13 00,35,716.0,-13.527766602163112,-71.94322416614798
1_04 13 00,35,717.0,-13.527766651530873,-71.94322435752862
1_04 13 00,35,718.0,-13.527766617313098,-71.943224523231
1_04 13 00,35,719.0,-13.527766833708053,-71.9432247300111
1_04 13 00,35,720.0,-13.527767024486058,-71.94322490837742
1_04 13 00,35,721.0,-13.527767456024796,-71.94322513680908
1_04 13 00,35,722.0,-13.527767665633515,-71.94322537675912
1_04 13 00,35,723.0,-13.527767849589342,-71.9432255845754
1_04 13 00,35,724.0,-13.527767657049322,-71.94322578757588
1_04 13 00,35,725.0,-13.527767406967882,-71.94322596268971
1_04 13 00,35,726.0,-13.527767100002709,-71.94322616206381
