clip,id,frame,latitude,longitude
1_04_13_00,65,2243.0,-13.522814758211464,-71.96144028423171
1_04_13_00,65,2244.0,-13.522814752890914,-71.9614402981571
1_04_13_00,65,2245.0,-13.522814748087093,-71.96144031067462
1_04_13_00,65,2246.0,-13.522814743752338,-71.96144032191715
1_04_13_00,65,2247.0,-13.522814739843243,-71.96144033200542
1_04_13_00,65,2248.0,-13.522814736320276,-71.96144034104923
1_04_13_00,65,2249.0,-13.52281473314747,-71.96144034914843
1_04_13_00,65,2250.0,-13.522814730292085,-71.96144035639368
1_04_13_00,65,2251.0,-13.52281474664673,-71.96144032017794
1_04_13_00,65,2252.0,-13.522814742284055,-71.96144033059201
1_04_13_00,65,2253.0,-13.522814738358518,-71.96144033992326
1_04_13_00,65,2254.0,-13.52281473482908,-71.96144034827539
1_04_13_00,65,2255.0,-13.522814731658393,-71.96144035574264
1_04_13_00,65,2256.0,-13.522814728812502,-71.96144036241057
1_04_13_00,65,2257.0,-13.52281472626054,-71.9614403683569
1_04_13_00,65,2258.0,-13.522814723974445,-71.96144037365215
1_04_13_00,65,2259.0,-13.522814721928716,-71.9614403783603
1_04_13_00,65,2260.0,-13.522814720100197,-71.96144038253945
1_04_13_00,65,2261.0,-13.522814718467849,-71.96144038624223
1_04_13_00,65,2262.0,-13.522814717012576,-71.96144038951634
1_04_13_00,65,2263.0,-13.522814715717047,-71.96144039240504
1_04_13_00,65,2264.0,-13.522814714565534,-71.96144039494749
1_04_13_00,65,2265.0,-13.522814713543776,-71.96144039717912
1_04_13_00,65,2266.0,-13.52281471263884,-71.96144039913206
1_04_13_00,65,2267.0,-13.52281471183901,-71.96144040083531
1_04_13_00,65,2268.0,-13.522814711133664,-71.96144040231512
1_04_13_00,65,2269.0,-13.522814710513183,-71.96144040359516
1_04_13_00,65,2270.0,-13.522814709968864,-71.9614404046969
1_04_13_00,65,2271.0,-13.522814709492836,-71.96144040563966
1_04_13_00,65,2272.0,-13.522814709077966,-71.96144040644086
1_04_13_00,65,2273.0,-13.522814727645795,-71.96144036441402
1_04_13_00,65,2274.0,-13.522814744201106,-71.96144032692621
1_04_13_00,65,2275.0,-13.522814758941633,-71.9614402935322
1_04_13_00,65,2276.0,-13.522814772046583,-71.96144026382851
1_04_13_00,65,2277.0,-13.522814783678344,-71.96144023744941
1_04_13_00,65,2278.0,-13.52281477507531,-71.96144025672226
1_04_13_00,65,2279.0,-13.522814767334651,-71.96144027405155
1_04_13_00,65,2280.0,-13.522814779288392,-71.96144024695218
1_04_13_00,65,2281.0,-13.52281477098355,-71.96144026555956
1_04_13_00,65,2282.0,-13.522814782432413,-71.96144023960507
1_04_13_00,65,2283.0,-13.522814792587313,-71.96144021657311
1_04_13_00,65,2284.0,-13.522814782671261,-71.96144023882518
1_04_13_00,65,2285.0,-13.522814773762345,-71.9614402588087
1_04_13_00,65,2286.0,-13.522814765765395,-71.96144027673844
1_04_13_00,65,2287.0,-13.522814758593865,-71.96144029280974
1_04_13_00,65,2288.0,-13.522814752169058,-71.96144030720016
1_04_13_00,65,2289.0,-13.522814746419451,-71.96144032007109
1_04_13_00,65,2290.0,-13.52281472235612,-71.96144037426187
1_04_13_00,65,2291.0,-13.522814681957703,-71.9614404653087
1_04_13_00,65,2292.0,-13.52281466489568,-71.96144050371174
1_04_13_00,65,2293.0,-13.522814630800914,-71.96144058054462
1_04_13_00,65,2294.0,-13.522814581516226,-71.96144069164973
1_04_13_00,65,2295.0,-13.522814537677355,-71.96144079047242
1_04_13_00,65,2296.0,-13.522814536724015,-71.96144079254796
1_04_13_00,65,2297.0,-13.522814536092781,-71.96144079390014
1_04_13_00,65,2298.0,-13.522814535741736,-71.96144079462343
1_04_13_00,65,2299.0,-13.522814535633394,-71.96144079480229
1_04_13_00,65,2300.0,-13.522814535734279,-71.96144079451216
1_04_13_00,65,2301.0,-13.522814536014518,-71.9614407938203
1_04_13_00,65,2302.0,-13.52281453644752,-71.96144079278666
1_04_13_00,65,2303.0,-13.522814537009623,-71.96144079146447
1_04_13_00,65,2304.0,-13.52281453767982,-71.96144078990102
1_04_13_00,65,2305.0,-13.522814538439492,-71.96144078813822
1_04_13_00,65,2306.0,-13.522814539272181,-71.96144078621312
1_04_13_00,65,2307.0,-13.522814540163347,-71.96144078415838
1_04_13_00,65,2308.0,-13.522814541100196,-71.96144078200282
1_04_13_00,65,2309.0,-13.522814561047682,-71.96144073696118
1_04_13_00,65,2310.0,-13.522814578952389,-71.96144069653009
1_04_13_00,65,2311.0,-13.522814595009377,-71.96144066026943
1_04_13_00,65,2312.0,-13.52281462287919,-71.96144063154371
1_04_13_00,65,2313.0,-13.522814647770415,-71.96144060581732
1_04_13_00,65,2314.0,-13.52281466997357,-71.96144058280106
1_04_13_00,65,2315.0,-13.522814689752106,-71.96144056223262
1_04_13_00,65,2316.0,-13.522814707344844,-71.96144054387398
1_04_13_00,65,2317.0,-13.52281472296825,-71.96144052750918
1_04_13_00,65,2318.0,-13.522814736818484,-71.96144051294253
1_04_13_00,65,2319.0,-13.522814767998113,-71.96144045727453
1_04_13_00,65,2320.0,-13.522814795677151,-71.96144040772667
1_04_13_00,65,2321.0,-13.52281482020587,-71.96144036369249
1_04_13_00,65,2322.0,-13.522814841901289,-71.96144032462277
1_04_13_00,65,2323.0,-13.522814861050264,-71.96144029002042
1_04_13_00,65,2324.0,-13.522814859016927,-71.96144030209784
1_04_13_00,65,2325.0,-13.522814856987665,-71.96144031314415
1_04_13_00,65,2326.0,-13.52281485497235,-71.96144032324696
1_04_13_00,65,2327.0,-13.522814852979407,-71.96144033248656
1_04_13_00,65,2328.0,-13.522814851015964,-71.96144034093632
1_04_13_00,65,2329.0,-13.522814849087993,-71.96144034866346
1_04_13_00,65,2330.0,-13.52281483373667,-71.96144035196457
1_04_13_00,65,2331.0,-13.522814819891977,-71.96144035506995
1_04_13_00,65,2332.0,-13.522814807414068,-71.96144035799111
1_04_13_00,65,2333.0,-13.522814796175641,-71.96144036073878
1_04_13_00,65,2334.0,-13.522814786060847,-71.96144036332312
