frame,id,x,y,type
6998,219,562.5,86.0,ped
6999,219,562.5,86.0,ped
7000,219,562.0,86.0,ped
7001,219,562.0,86.5,ped
7002,219,561.0,87.5,ped
7003,219,561.0,87.0,ped
7004,219,560.0,86.5,ped
7005,219,560.0,86.5,ped
7006,219,559.0,88.0,ped
7007,219,559.0,88.5,ped
7008,219,559.0,89.5,ped
7009,219,559.0,90.0,ped
7010,219,558.0,90.0,ped
7011,219,558.0,91.0,ped
7012,219,557.5,91.0,ped
7013,219,557.5,92.0,ped
7014,219,556.5,92.0,ped
7015,219,556.5,93.0,ped
7016,219,556.0,93.5,ped
7017,219,556.0,94.0,ped
7018,219,555.0,95.0,ped
7019,219,555.0,95.5,ped
7020,219,554.5,95.5,ped
7021,219,554.5,96.0,ped
7022,219,554.0,96.5,ped
7023,219,554.0,96.5,ped
7024,219,553.0,97.0,ped
7025,219,553.0,97.0,ped
7026,219,552.0,97.5,ped
7027,219,552.0,97.5,ped
7028,219,551.5,98.5,ped
7029,219,551.5,98.5,ped
7030,219,550.0,99.5,ped
7031,219,550.0,99.5,ped
7032,219,550.0,101.0,ped
7033,219,550.0,101.5,ped
7034,219,549.0,101.5,ped
7035,219,549.0,102.5,ped
7036,219,548.0,102.5,ped
7037,219,548.0,103.0,ped
7038,219,548.0,103.0,ped
7039,219,547.5,104.0,ped
7040,219,547.5,104.0,ped
7041,219,546.5,104.5,ped
7042,219,546.5,105.0,ped
7043,219,546.0,106.0,ped
7044,219,546.0,106.5,ped
7045,219,546.0,107.0,ped
7046,219,546.0,107.0,ped
7047,219,545.0,108.0,ped
7048,219,545.0,108.0,ped
7049,219,543.5,109.5,ped
7050,219,543.5,109.5,ped
7051,219,543.0,110.5,ped
7052,219,543.0,110.5,ped
7053,219,542.0,112.0,ped
7054,219,542.0,113.0,ped
7055,219,542.0,113.0,ped
7056,219,542.0,113.0,ped
7057,219,540.0,114.5,ped
7058,219,540.0,114.5,ped
7059,219,539.0,115.0,ped
7060,219,539.0,115.5,ped
7061,219,538.5,116.5,ped
7062,219,538.5,117.0,ped
7063,219,537.5,118.0,ped
7064,219,537.5,118.0,ped
7065,219,536.0,118.5,ped
7066,219,536.0,118.5,ped
7067,219,534.5,120.0,ped
7068,219,534.5,120.0,ped
7069,219,534.0,121.0,ped
7070,219,534.0,121.0,ped
7071,219,533.0,122.5,ped
7072,219,533.0,122.5,ped
7073,219,532.0,124.0,ped
7074,219,532.0,124.0,ped
7075,219,531.0,125.0,ped
7076,219,531.0,125.0,ped
7077,219,529.5,126.5,ped
7078,219,529.5,127.0,ped
7079,219,528.0,128.0,ped
7080,219,528.0,128.0,ped
7081,219,527.5,129.5,ped
7082,219,527.5,130.0,ped
7083,219,526.5,131.5,ped
7084,219,526.5,132.5,ped
7085,219,526.0,133.5,ped
7086,219,526.0,134.0,ped
7087,219,524.5,135.0,ped
7088,219,524.5,136.0,ped
7089,219,523.0,137.0,ped
7090,219,523.0,137.5,ped
7091,219,521.5,138.0,ped
7092,219,521.5,138.0,ped
7093,219,520.0,139.5,ped
7094,219,520.0,139.5,ped
7095,219,519.0,140.5,ped
7096,219,519.0,140.5,ped
7097,219,518.0,142.5,ped
7098,219,518.0,143.0,ped
7099,219,517.0,145.0,ped
7100,219,517.0,145.0,ped
7101,219,515.0,146.0,ped
7102,219,515.0,146.0,ped
7103,219,513.5,147.5,ped
7104,219,513.5,147.5,ped
7105,219,512.0,149.5,ped
7106,219,512.0,150.0,ped
7107,219,510.5,152.5,ped
7108,219,510.5,153.0,ped
7109,219,509.0,154.0,ped
7110,219,509.0,155.0,ped
7111,219,507.5,156.5,ped
7112,219,507.5,157.0,ped
7113,219,506.0,158.0,ped
7114,219,506.0,158.5,ped
7115,219,504.0,160.0,ped
7116,219,504.0,160.0,ped
7117,219,502.0,162.5,ped
7118,219,502.0,163.5,ped
7119,219,501.0,165.0,ped
7120,219,501.0,166.0,ped
7121,219,499.5,167.0,ped
7122,219,499.5,167.5,ped
7123,219,497.5,169.0,ped
7124,219,497.5,170.0,ped
7125,219,495.5,171.5,ped
7126,219,495.5,171.5,ped
7127,219,493.5,173.5,ped
7128,219,493.5,174.0,ped
7129,219,491.5,176.0,ped
7130,219,491.5,176.5,ped
7131,219,490.0,179.0,ped
7132,219,490.0,179.0,ped
7133,219,487.5,181.0,ped
7134,219,487.5,181.5,ped
7135,219,485.0,185.0,ped
7136,219,485.0,186.0,ped
7137,219,485.0,186.0,ped
7138,219,483.0,188.0,ped
7139,219,483.0,188.5,ped
7140,219,481.5,190.0,ped
7141,219,481.5,190.0,ped
7142,219,479.0,193.0,ped
7143,219,479.0,193.0,ped
7144,219,476.5,197.0,ped
7145,219,476.5,197.0,ped
7146,219,475.0,199.0,ped
7147,219,475.0,199.0,ped
7148,219,471.5,201.0,ped
7149,219,471.5,201.5,ped
7150,219,469.0,204.0,ped
7151,219,469.0,205.0,ped
7152,219,467.5,208.5,ped
7153,219,467.5,209.5,ped
7154,219,464.5,211.5,ped
7155,219,464.5,211.5,ped
7156,219,461.5,215.0,ped
7157,219,461.5,215.5,ped
7158,219,459.0,218.0,ped
7159,219,459.0,218.5,ped
7160,219,456.5,221.0,ped
7161,219,456.5,221.0,ped
7162,219,454.5,224.5,ped
7163,219,454.5,225.0,ped
7164,219,450.5,229.0,ped
7165,219,450.5,230.0,ped
7166,219,447.5,232.5,ped
7167,219,447.5,232.5,ped
7168,219,445.0,237.5,ped
7169,219,444.5,238.0,ped
7170,219,441.5,241.5,ped
7171,219,441.5,241.5,ped
7172,219,439.0,243.5,ped
7173,219,438.5,244.0,ped
7174,219,435.5,250.0,ped
7175,219,435.5,250.0,ped
