id,frame,label,x_est,y_est,vx_est,vy_est
67,2422,ped,931.0,186.5,0.0,0.0
67,2423,ped,931.0,186.5,0.0,0.0
67,2424,ped,930.7524220595283,186.7475779404717,-0.1096575556961787,0.1096575556961787
67,2425,ped,930.6647368332326,186.83526316676733,-0.21475740708556673,0.21475740708559057
67,2426,ped,930.6171827883741,186.74638315495503,-0.3126596102100683,0.008912726159765766
67,2427,ped,930.5853652879129,186.68795134621053,-0.3994718535533926,-0.18222442575362577
67,2431,ped,930.231600850115,186.64425761970097,-1.8447210140972075,-0.35150670885321206
67,2432,ped,929.9466827950015,186.60910564793616,-3.073116160873695,-0.4930798409713138
67,2433,ped,929.0830148076782,186.57984622764178,-7.342406472999825,-0.6036491205225945
67,2434,ped,928.3451159479806,186.5552768320261,-10.706161650546205,-0.68293634300995
67,2435,ped,927.7158709226585,186.43072945434403,-13.19288782441704,-1.3071710647656536
67,2436,ped,927.1846187466338,186.32382705705737,-14.892738843290019,-1.7718418750510612
67,2452,ped,926.01506052885,186.23317735458141,-19.807396804615255,-2.097863840445001
67,2453,ped,925.1303837391666,186.26054479154791,-22.674335271120615,-1.7756198543052741
67,2454,ped,924.3936554382532,186.28603931564012,-24.463266276884603,-1.5009745641138688
67,2455,ped,923.786370358177,186.30939463679866,-25.42000601495707,-1.2690740055943257
67,2456,ped,923.3901154506553,186.4303488810679,-25.293812867444785,-0.6148776867242605
67,2457,ped,923.0730425367328,186.63242520873098,-24.832094409580403,0.3233312197121264
67,2458,ped,922.8217974237681,186.61115960391658,-24.142177554362565,0.21025160744129162
67,2459,ped,922.6248793366846,186.49779643508282,-23.304737229351286,-0.26611105414396213
67,2460,ped,922.4725704073649,186.49460176536334,-22.379117533314204,-0.26124774055114536
67,2461,ped,922.3567674688128,186.49203863119675,-21.40813803109179,-0.25448592639112155
67,2462,ped,922.2707740060655,186.49000023215459,-20.422112190204516,-0.24646459463674608
67,2476,ped,921.0550097305942,186.4883972839364,-23.500673899355156,-0.23765581740347172
67,2477,ped,920.023307006013,186.48715549581243,-25.678116187652773,-0.22840496509683167
67,2478,ped,919.1488697555633,186.65824035570847,-27.14992194849163,0.3481337899870994
67,2479,ped,918.4088310444895,186.9752429062863,-28.06989783083706,1.3438101403474947
67,2480,ped,917.7837215492794,187.24874299439406,-28.55908125975641,2.1248199173842854
67,2481,ped,917.2569808646011,187.40222292660397,-28.71279672063045,2.482385755913325
67,2482,ped,916.8145229415258,187.5342232530521,-28.606206941176232,2.750057893591581
67,2483,ped,916.3638705219953,187.5671703080333,-28.53085989864122,2.7128794357685004
67,2484,ped,915.9857358179243,187.51488733855467,-28.256044978467916,2.437731510295611
67,2485,ped,915.3548914666101,187.38919023160676,-28.698146730177534,1.9778923677255247
67,2486,ped,914.8178141687665,187.27823287869052,-28.857558657922905,1.5875397163369096
67,2487,ped,914.2074073264674,187.10287773539252,-29.202457244357124,1.04982833321324
67,2488,ped,913.6868431283067,186.94850306073545,-29.291186771370985,0.5993957766992701
67,2489,ped,913.0161839204031,186.812580598883,-29.76214565297408,0.22279854623878925
67,2490,ped,912.4415264403951,186.69290900470003,-29.962220464916193,-0.0911886267248383
67,2491,ped,911.8757604571006,186.66264955120812,-30.128995868626866,-0.16337808693413858
67,2492,ped,911.3924750410448,186.63605641935806,-30.08217593963178,-0.2226215589202635
67,2493,ped,910.9814820828493,186.53848857358196,-29.860327233541888,-0.4530147417630317
67,2494,ped,910.6338694984829,186.45253531636948,-29.495677360458757,-0.6435367767112472
67,2495,ped,910.2683396087749,186.45036226180477,-29.192156970522497,-0.6229451664050721
67,2496,ped,909.9600782093705,186.5219348920668,-28.76654866403389,-0.42728768253258786
67,2497,ped,909.7021074993131,186.58553717311113,-28.24187913777707,-0.25974220791142033
67,2498,ped,909.4882802205196,186.64203361449702,-27.63761675530258,-0.11665641655915679
67,2499,ped,909.240792718688,186.69219062687,-27.139429377098548,0.005123966116586859
67,2500,ped,909.0354878783414,186.8088518534759,-26.565405082149972,0.2760236204425687
67,2501,ped,908.65134956574,186.91226745272255,-26.42990540124405,0.5044402945337422
67,2502,ped,908.3241501393584,187.00384916861387,-26.169261091467053,0.695782926267309
67,2503,ped,907.7607948752986,187.08485552874535,-26.460619034129582,0.8547688014087492
67,2504,ped,907.2740716229819,187.156409755588,-26.564915563033733,0.9855202796815452
67,2505,ped,906.7840494813738,187.36219650030313,-26.672390506139603,1.4160275483593656
67,2506,ped,906.3623696400186,187.54450232907016,-26.62058531671404,1.7756846606774017
67,2507,ped,905.8591471341865,187.70577795802808,-26.75513870625897,2.0732375509173897
67,2508,ped,905.4255515241061,187.84822025004746,-26.727364649412483,2.316393204665983
67,2509,ped,904.9829187279947,187.6901179291444,-26.721016528779842,1.8740952201269068
67,2510,ped,904.5322457909493,187.54831277370178,-26.732959246653316,1.4858366806129666
67,2511,ped,904.003659626876,187.35043463410295,-26.91891989349639,0.9872307080939393
67,2512,ped,903.5472323508938,187.17360893093206,-26.93631038890655,0.5551192349093195
67,2513,ped,902.7312007477265,187.2983082593706,-27.755758620627695,0.8128280298969524
67,2514,ped,902.018921241786,187.40900450004867,-28.312353224612988,1.0293928505098464
67,2515,ped,901.3287923342225,187.648196949798,-28.798291910492416,1.523746543607676
67,2516,ped,900.7291433496,187.86060633724824,-29.064455101727898,1.939665654051242
67,2517,ped,900.0693341068911,187.83756387891373,-29.45416415346389,1.8166435804972132
67,2518,ped,899.4969622928816,187.81603272414975,-29.635013017879015,1.701636546564918
