id,frame,label,x_est,y_est,vx_est,vy_est
192,1203,ped,1829.0,474.0,0.0,0.0
192,1204,ped,1829.0,474.0,0.0,0.0
192,1212,ped,1826.7717985357547,472.2669544166981,-0.9869180012656084,-0.7676028898732509
192,1213,ped,1825.6400157468843,472.16708146094277,-2.3522188423403985,-0.8741985817438777
192,1214,ped,1825.0275674654326,472.11089596351997,-3.6284491007444837,-0.9668483581902382
192,1215,ped,1824.4996766576278,471.95345099387134,-5.153545520159912,-1.4279854197135118
192,1216,ped,1824.1029389209455,471.83518486114025,-6.447813504368115,-1.8213154820828976
192,1217,ped,1823.2556241249658,471.4228199257446,-10.023451848406156,-3.6675358853161137
192,1218,ped,1822.548687588038,471.1819768429891,-12.860428839370247,-4.611922244284168
192,1219,ped,1821.8490299742675,470.9793071460654,-15.512615037130193,-5.2994242399108344
192,1220,ped,1821.2595627643202,470.809633673137,-17.338036548915767,-5.748160883870417
192,1221,ped,1820.4563732308302,470.46118788771355,-20.14530516523,-7.127403121004536
192,1222,ped,1819.7840507197652,470.16744997935757,-21.94062847213892,-8.060612756489604
192,1223,ped,1819.0221480052412,470.2328109967201,-23.98904096595904,-7.028177320494702
192,1224,ped,1818.392531653426,470.29674173033595,-25.13471693766186,-6.125457401976794
192,1225,ped,1817.7765483456722,470.15525131173695,-26.07950669621954,-6.3143443529943015
192,1226,ped,1817.2736300097927,470.04002706564034,-26.393747710042874,-6.360312065734316
192,1227,ped,1816.4731946784698,469.9469941514573,-27.986883405275837,-6.302990714657213
192,1228,ped,1815.8120329215405,469.8725136752152,-28.812942195372425,-6.1733023776304385
192,1229,ped,1815.2687280901637,469.8134269437034,-29.070099577891277,-5.994762654535111
192,1230,ped,1814.1705369435633,469.8604767084927,-31.47600808167208,-5.41861090755711
192,1231,ped,1813.0681941400712,469.62872755586636,-33.65724750559499,-5.952606881757237
192,1232,ped,1812.1448628727317,469.25338595952826,-34.976677216024456,-6.958012682479324
192,1234,ped,1811.2845989546372,468.93546980500224,-35.95194421070601,-7.668220971258059
192,1235,ped,1810.4782973368779,468.66655786519215,-36.65653226200549,-8.148288420703333
192,1237,ped,1809.5461193664332,468.69748983923154,-37.71550169678374,-7.598632456356093
192,1238,ped,1808.7620039630335,468.72834037711084,-38.213095266278465,-7.094733677851358
192,1239,ped,1808.0206371616691,468.84240242010327,-38.538066644445024,-6.372184254573085
192,1242,ped,1806.6562034784206,469.19204158027196,-40.725058285270435,-4.991657760052493
192,1243,ped,1805.4924842364046,469.579759021495,-42.157436754267664,-3.600795977754485
192,1244,ped,1804.2602758961532,469.9190040294342,-43.68523681935461,-2.448974240040861
192,1245,ped,1803.2086444755223,470.1363960275262,-44.59831031642362,-1.720285115064597
192,1246,ped,1801.9980675327295,470.0119606760024,-45.89017024864168,-1.985042362630316
192,1247,ped,1800.9627231642307,469.9041375921246,-46.62385534604567,-2.1877531256053797
192,1248,ped,1799.8475738183183,469.65611845295007,-47.52464556185093,-2.751422181966675
192,1249,ped,1798.6634688579945,469.6700495095496,-48.55205058454982,-2.5947327108527083
192,1250,ped,1797.648106377087,469.6836159876097,-49.084150024875306,-2.4481019114071385
192,1251,ped,1796.3266936041327,469.69680381904027,-50.36504770058128,-2.3107105496739706
192,1252,ped,1795.1888600945106,469.7096039989326,-51.11462184748899,-2.1818228250643057
192,1253,ped,1794.0627721047,469.7220114634543,-51.79510459018007,-2.0607774076189815
192,1254,ped,1793.0956923676356,469.73402422198444,-52.04997250624706,-1.946979252816058
192,1255,ped,1792.2683302578125,470.04098023160805,-51.95243715569901,-1.1222117279913357
192,1256,ped,1791.563768535557,470.3129539283084,-51.56405295099647,-0.4223612404407707
192,1257,ped,1790.967145940992,470.5538321775692,-50.93670248481032,0.1695111901104862
192,1258,ped,1790.3196203325058,470.6941647185969,-50.45953720292484,0.4952679188927531
192,1259,ped,1789.7722128222968,470.81826010331775,-49.7689086813038,0.7677719767140632
192,1260,ped,1788.9510213682881,470.92789374295734,-49.74953098512729,0.994117647105377
192,1261,ped,1788.248600868028,471.09680423011196,-49.455015596298225,1.3481306370581976
192,1262,ped,1787.579169432191,471.1021060331923,-49.09714353922954,1.3084480967352836
192,1263,ped,1787.0105706062477,471.1061230994544,-48.52273889863733,1.2675212820394386
192,1264,ped,1786.1013206351877,471.32388818117636,-48.75302376100586,1.7179311507166508
192,1265,ped,1785.3189653567915,471.58802620246973,-48.6841319702666,2.2552504265461164
192,1266,ped,1784.5064840373554,471.3936692862887,-48.686585315868534,1.7279319941101559
192,1267,ped,1783.8096980795608,471.21985397414346,-48.4267500458452,1.268769014295481
192,1268,ped,1782.9311084166563,470.7089592466907,-48.58826351261372,0.06654212048569663
192,1269,ped,1781.749025489587,470.1831630575933,-49.42729427915348,-1.1209818771742854
192,1270,ped,1780.7230802016409,469.71562707494206,-49.88184243347321,-2.1302233587055484
192,1271,ped,1779.694539178135,469.22956658968786,-50.324258140244716,-3.1411597549835273
192,1272,ped,1778.805443924125,468.79830011964793,-50.43703380593957,-3.989735567065589
192,1273,ped,1778.0405007935703,468.4162248893063,-50.26785063615936,-4.695271063641601
192,1274,ped,1777.0327825199686,467.9370152085418,-50.64715841946978,-5.590308323445328
192,1275,ped,1776.1620286038349,467.51295031621163,-50.70653229884208,-6.327935300586331
192,1276,ped,1775.2016693696817,467.13837835462397,-50.96313243314713,-6.927089437854235
192,1277,ped,1774.3731107162823,466.80820544417975,-50.91681334279758,-7.404630837642786
192,1278,ped,1773.3096729892843,466.58829720809183,-51.394111705815405,-7.619030383703224
192,1279,ped,1772.3892870322568,466.4667621810886,-51.535776614247354,-7.606934854742857
192,1280,ped,1771.314910557457,466.5736809717702,-52.013657697807325,-7.088564324635572
192,1281,ped,1770.3849688595103,466.6728836991769,-52.153403868842055,-6.60681257517273
192,1282,ped,1769.302517740273,466.69461510587536,-52.625730125954156,-6.314759407054838
192,1283,ped,1768.4359100960219,466.7174309807456,-52.60251130210921,-6.031246231394696
192,1284,ped,1767.6211730784328,466.6707685025839,-52.46538311827595,-5.9120706534959355
192,1285,ped,1766.8526214460219,466.632357717056,-52.231220149774614,-5.77909094974797
192,1286,ped,1766.1953966667693,466.6012353828279,-51.759649087305,-5.634950696994323
192,1287,ped,1765.566971658943,466.57653676849395,-51.241966752796706,-5.481974354528697
