frame,id,x,y,type
4645,650,715.5,197.0,ped
4646,650,715.5,196.5,ped
4647,650,712.0,195.0,ped
4648,650,711.5,195.0,ped
4650,650,710.5,194.5,ped
4651,650,708.5,194.5,ped
4652,650,708.0,194.0,ped
4653,650,707.5,194.0,ped
4654,650,707.5,194.0,ped
4655,650,706.0,195.0,ped
4656,650,705.5,195.0,ped
4657,650,705.5,195.5,ped
4658,650,705.5,195.5,ped
4659,650,706.0,195.0,ped
4660,650,706.0,194.5,ped
4662,650,702.0,193.0,ped
4664,650,699.0,193.0,ped
4665,650,695.0,193.0,ped
4666,650,695.0,193.0,ped
4667,650,692.5,191.5,ped
4668,650,692.5,191.5,ped
4669,650,689.0,193.5,ped
4670,650,689.0,193.5,ped
4671,650,686.5,194.5,ped
4672,650,686.5,194.5,ped
4673,650,686.5,194.5,ped
4674,650,685.5,195.0,ped
4675,650,685.5,195.0,ped
4676,650,683.0,195.0,ped
4677,650,678.5,196.0,ped
4678,650,678.5,196.0,ped
4679,650,678.0,197.0,ped
4680,650,678.0,197.0,ped
4682,650,675.5,197.5,ped
4683,650,674.5,196.5,ped
4684,650,674.5,196.5,ped
4685,650,673.0,197.0,ped
4686,650,673.0,197.0,ped
4687,650,673.0,197.0,ped
4688,650,670.0,197.5,ped
4689,650,670.0,197.5,ped
4690,650,667.0,197.5,ped
4691,650,667.0,197.5,ped
4692,650,664.0,197.5,ped
4693,650,664.0,197.5,ped
4694,650,659.0,197.5,ped
4695,650,656.5,197.0,ped
4696,650,656.5,197.0,ped
4697,650,652.5,196.5,ped
4698,650,652.5,196.0,ped
4699,650,649.5,195.5,ped
4700,650,649.5,195.5,ped
4701,650,647.5,197.0,ped
4702,650,647.5,197.5,ped
4703,650,647.5,197.5,ped
4704,650,645.0,197.0,ped
4705,650,645.0,197.0,ped
4706,650,641.0,197.5,ped
4707,650,641.0,198.0,ped
4708,650,638.0,198.0,ped
4709,650,637.5,198.0,ped
4710,650,636.5,198.5,ped
4711,650,636.5,198.5,ped
4712,650,635.5,198.5,ped
4713,650,634.5,199.0,ped
4714,650,634.5,199.5,ped
4715,650,632.5,198.5,ped
4716,650,632.5,198.5,ped
4717,650,631.5,199.0,ped
4718,650,631.5,199.5,ped
4719,650,631.5,199.5,ped
4720,650,628.5,199.5,ped
4721,650,628.5,199.5,ped
