               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.027541,            0.044965,                   0,             0.92947,             0.90766,             0.96925,             0.72177,            0.025784,            0.050928,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.027266,             0.04504,                   0,             0.92308,             0.91532,             0.96987,             0.72197,            0.025637,            0.050621,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.027352,            0.044697,                   0,             0.92125,              0.9216,             0.96992,             0.72346,            0.025621,            0.050886,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.027429,            0.044488,                   0,             0.93068,              0.9127,             0.96928,             0.72521,            0.025546,            0.050169,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.026974,            0.044346,                   0,             0.92826,             0.91257,             0.96991,             0.72641,            0.025608,            0.050218,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027347,             0.04571,                   0,             0.93141,             0.90707,              0.9703,              0.7264,            0.025531,            0.050507,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.027254,            0.045412,                   0,             0.91973,             0.92004,             0.97052,             0.72672,            0.025433,            0.050128,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.027105,            0.044734,                   0,             0.92371,              0.9169,             0.97123,             0.72575,            0.025501,            0.050477,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.027027,            0.044386,                   0,             0.92386,               0.911,             0.97012,              0.7296,            0.025237,             0.04974,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.026752,            0.044439,                   0,             0.92023,              0.9167,             0.96969,             0.72568,            0.025472,            0.050022,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.027174,            0.044903,                   0,             0.93499,             0.90157,             0.96956,             0.72904,            0.025297,            0.049992,                   0,            0.008416,            0.008416,            0.008416
