               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.041291,             0.02716,          0.00091461,             0.84055,             0.74491,             0.83998,             0.45515,            0.037266,            0.032289,          0.00083663,           0.0086536,           0.0086536,           0.0086536
                  36,            0.042102,            0.027389,           0.0009411,             0.83956,             0.74109,             0.83866,             0.45286,            0.037079,            0.032206,          0.00082471,            0.008614,            0.008614,            0.008614
                  37,            0.041211,             0.02671,          0.00089622,             0.83792,             0.74109,             0.83815,             0.45065,             0.03742,            0.032172,          0.00087787,           0.0085744,           0.0085744,           0.0085744
                  38,             0.04154,            0.026639,          0.00093502,             0.81897,             0.75331,             0.83876,             0.45269,            0.036903,            0.032101,          0.00088464,           0.0085348,           0.0085348,           0.0085348
                  39,            0.040741,            0.026935,          0.00088981,             0.84664,             0.74542,             0.84324,             0.45452,              0.0371,            0.032233,          0.00083308,           0.0084952,           0.0084952,           0.0084952
                  40,            0.041895,            0.027024,          0.00090231,             0.82416,             0.76171,             0.84053,             0.45686,            0.037386,            0.031992,          0.00086448,           0.0084556,           0.0084556,           0.0084556
                  41,            0.041164,            0.026819,          0.00088457,             0.84657,             0.75204,              0.8458,             0.46199,            0.037045,            0.031902,          0.00080624,            0.008416,            0.008416,            0.008416
                  42,            0.040719,             0.02617,          0.00090075,             0.83639,             0.75586,             0.84419,             0.45856,            0.037037,            0.031835,          0.00084394,           0.0083764,           0.0083764,           0.0083764
                  43,            0.040406,            0.026666,           0.0008762,             0.83139,             0.75818,             0.84451,             0.45964,            0.036545,            0.032081,          0.00082893,           0.0083368,           0.0083368,           0.0083368
                  44,            0.040566,            0.026346,          0.00087855,             0.83801,             0.75127,             0.84492,             0.46135,            0.036473,            0.031788,           0.0008398,           0.0082972,           0.0082972,           0.0082972
                  45,            0.040437,            0.026756,          0.00088892,             0.82917,             0.75254,             0.84183,             0.45791,              0.0371,            0.032097,          0.00079449,           0.0082576,           0.0082576,           0.0082576
                  46,            0.041192,            0.026456,          0.00086923,             0.84678,             0.74313,             0.84337,             0.46065,            0.036939,            0.031895,          0.00079702,            0.008218,            0.008218,            0.008218
                  47,            0.040686,            0.026233,          0.00086986,             0.83821,             0.76369,             0.85097,             0.46598,            0.036216,            0.031633,          0.00082247,           0.0081784,           0.0081784,           0.0081784
                  48,            0.040235,            0.025876,          0.00086179,             0.83993,             0.74542,             0.84087,             0.45916,            0.036763,            0.032135,          0.00080428,           0.0081388,           0.0081388,           0.0081388
                  49,            0.040377,              0.0261,          0.00082835,             0.83377,             0.76106,             0.84556,             0.46647,            0.036551,            0.031996,          0.00080201,           0.0080992,           0.0080992,           0.0080992
                  50,            0.040179,            0.026283,          0.00080691,             0.84567,             0.73956,             0.84265,             0.46662,            0.036688,            0.031831,          0.00080258,           0.0080596,           0.0080596,           0.0080596
                  51,            0.040495,            0.026251,           0.0008551,              0.8487,             0.74973,             0.84822,             0.46685,            0.036393,            0.031826,          0.00074902,             0.00802,             0.00802,             0.00802
                  52,            0.040234,            0.026711,          0.00081993,             0.84485,             0.74338,             0.84471,             0.46312,            0.036373,            0.031763,          0.00073826,           0.0079804,           0.0079804,           0.0079804
                  53,             0.04047,            0.026755,          0.00080137,             0.83569,             0.76298,             0.84774,             0.46562,            0.036278,            0.031932,          0.00072407,           0.0079408,           0.0079408,           0.0079408
