frame,id,x,y,type
3321,355,199.5,184.0,ped
3322,355,198.0,186.0,ped
3323,355,198.0,186.0,ped
3324,355,198.0,187.5,ped
3325,355,198.0,187.5,ped
3326,355,198.5,189.5,ped
3327,355,199.0,190.0,ped
3328,355,199.0,190.0,ped
3329,355,199.0,191.0,ped
3331,355,184.0,205.0,ped
3332,355,183.5,205.5,ped
3333,355,183.0,208.5,ped
3334,355,182.5,209.0,ped
3335,355,184.5,211.0,ped
3336,355,184.5,211.0,ped
3337,355,184.0,213.0,ped
3338,355,184.0,213.0,ped
3339,355,184.0,214.5,ped
3340,355,183.5,217.0,ped
3341,355,183.5,217.0,ped
3342,355,183.5,217.0,ped
3343,355,184.0,217.0,ped
3344,355,184.0,217.0,ped
3345,355,184.0,217.0,ped
3346,355,184.0,217.0,ped
3347,355,184.0,216.5,ped
3348,355,184.0,216.5,ped
3349,355,183.5,217.0,ped
3350,355,183.5,217.0,ped
3351,355,183.5,216.5,ped
3352,355,183.5,216.5,ped
3353,355,184.0,215.5,ped
3354,355,184.0,215.5,ped
3355,355,184.0,215.5,ped
3356,355,184.0,215.5,ped
3357,355,184.0,216.0,ped
3358,355,184.0,216.0,ped
3359,355,184.0,215.5,ped
3360,355,184.0,215.5,ped
3361,355,183.5,216.0,ped
3362,355,183.0,216.0,ped
3363,355,184.0,216.5,ped
3364,355,184.0,216.5,ped
3365,355,184.0,216.5,ped
3366,355,184.0,216.5,ped
3367,355,183.5,216.0,ped
3368,355,183.5,216.0,ped
3369,355,184.0,216.5,ped
3370,355,184.0,216.5,ped
3371,355,184.0,216.5,ped
3372,355,184.0,216.5,ped
3373,355,183.0,216.0,ped
3374,355,182.5,216.0,ped
3375,355,182.5,216.5,ped
3376,355,182.0,216.5,ped
3377,355,182.5,216.5,ped
3378,355,182.5,216.5,ped
3379,355,182.0,216.5,ped
3380,355,181.0,216.5,ped
3381,355,181.5,216.5,ped
3382,355,181.5,216.5,ped
3383,355,183.0,216.0,ped
3384,355,183.0,216.0,ped
3385,355,181.5,216.5,ped
3386,355,181.0,216.5,ped
3387,355,182.0,217.0,ped
3388,355,182.0,217.0,ped
3389,355,182.0,217.0,ped
3390,355,182.0,216.5,ped
3391,355,182.0,217.0,ped
3392,355,182.0,217.0,ped
3393,355,182.0,217.0,ped
3394,355,182.0,217.0,ped
3395,355,182.0,217.0,ped
3396,355,182.0,217.0,ped
3397,355,182.0,217.0,ped
3398,355,182.0,217.0,ped
3399,355,182.0,217.0,ped
3400,355,182.0,217.0,ped
3401,355,183.0,217.0,ped
3402,355,183.0,217.0,ped
3403,355,183.0,217.0,ped
3404,355,183.0,217.0,ped
3405,355,182.5,217.0,ped
3406,355,182.5,217.0,ped
3407,355,182.5,216.5,ped
3408,355,182.5,217.0,ped
